stn_code,sampling_date,state,location,agency,type,so2,no2,rspm,spm,location_monitoring_station,pm2_5,date
157,January - M011990,Rajasthan,Jaipur,NA,"Residential, Rural and other Areas",5,30.8,NA,265,NA,NA,01-01-1990
156,January - M011990,Rajasthan,Jaipur,NA,"Residential, Rural and other Areas",7.4,41.4,NA,403,NA,NA,01-01-1990
158,February - M021990,Rajasthan,Jaipur,NA,Industrial Area,5,16.6,NA,114,NA,NA,01-02-1990
157,February - M021990,Rajasthan,Jaipur,NA,"Residential, Rural and other Areas",5,13.4,NA,276,NA,NA,01-02-1990
156,February - M021990,Rajasthan,Jaipur,NA,"Residential, Rural and other Areas",6.9,38.2,NA,313,NA,NA,01-02-1990
158,April - M041990,Rajasthan,Jaipur,NA,Industrial Area,6.3,9.8,NA,300,NA,NA,01-04-1990
157,April - M041990,Rajasthan,Jaipur,NA,"Residential, Rural and other Areas",5,9.9,NA,284,NA,NA,01-04-1990
156,April - M041990,Rajasthan,Jaipur,NA,"Residential, Rural and other Areas",5.5,16.3,NA,444,NA,NA,01-04-1990
158,May - M051990,Rajasthan,Jaipur,NA,Industrial Area,6.6,6.9,NA,435,NA,NA,01-05-1990
157,May - M051990,Rajasthan,Jaipur,NA,"Residential, Rural and other Areas",5,6.6,NA,483,NA,NA,01-05-1990
156,May - M051990,Rajasthan,Jaipur,NA,"Residential, Rural and other Areas",5,8.5,NA,647,NA,NA,01-05-1990
158,June - M061990,Rajasthan,Jaipur,NA,Industrial Area,6.5,6.9,NA,391,NA,NA,01-06-1990
157,June - M061990,Rajasthan,Jaipur,NA,"Residential, Rural and other Areas",5,6.3,NA,536,NA,NA,01-06-1990
156,June - M061990,Rajasthan,Jaipur,NA,"Residential, Rural and other Areas",5,8,NA,579,NA,NA,01-06-1990
157,July - M071990,Rajasthan,Jaipur,NA,"Residential, Rural and other Areas",5,5.6,NA,NA,NA,NA,01-07-1990
156,July - M071990,Rajasthan,Jaipur,NA,"Residential, Rural and other Areas",5,5.9,NA,NA,NA,NA,01-07-1990
158,July - M071990,Rajasthan,Jaipur,NA,Industrial Area,5,6.5,NA,NA,NA,NA,01-07-1990
157,August - M081990,Rajasthan,Jaipur,NA,"Residential, Rural and other Areas",5,5.9,NA,NA,NA,NA,01-08-1990
156,August - M081990,Rajasthan,Jaipur,NA,"Residential, Rural and other Areas",5,7.2,NA,NA,NA,NA,01-08-1990
158,August - M081990,Rajasthan,Jaipur,NA,Industrial Area,5,6.3,NA,NA,NA,NA,01-08-1990
157,September - M091990,Rajasthan,Jaipur,NA,"Residential, Rural and other Areas",5,5.9,NA,NA,NA,NA,01-09-1990
156,September - M091990,Rajasthan,Jaipur,NA,"Residential, Rural and other Areas",5,7.5,NA,NA,NA,NA,01-09-1990
158,September - M091990,Rajasthan,Jaipur,NA,Industrial Area,5,6.3,NA,NA,NA,NA,01-09-1990
157,November - M111990,Rajasthan,Jaipur,NA,"Residential, Rural and other Areas",5,15.7,NA,NA,NA,NA,01-11-1990
156,November - M111990,Rajasthan,Jaipur,NA,"Residential, Rural and other Areas",5.5,12.7,NA,NA,NA,NA,01-11-1990
158,November - M111990,Rajasthan,Jaipur,NA,Industrial Area,17.8,16.1,NA,NA,NA,NA,01-11-1990
157,December - M121990,Rajasthan,Jaipur,NA,"Residential, Rural and other Areas",5,14.6,NA,NA,NA,NA,01-12-1990
156,December - M121990,Rajasthan,Jaipur,NA,"Residential, Rural and other Areas",5.3,19.6,NA,NA,NA,NA,01-12-1990
158,December - M121990,Rajasthan,Jaipur,NA,Industrial Area,12,14.7,NA,NA,NA,NA,01-12-1990
157,January - M011991,Rajasthan,Jaipur,NA,"Residential, Rural and other Areas",5.1,13.4,NA,NA,NA,NA,01-01-1991
156,January - M011991,Rajasthan,Jaipur,NA,"Residential, Rural and other Areas",5.4,17.8,NA,NA,NA,NA,01-01-1991
158,January - M011991,Rajasthan,Jaipur,NA,Industrial Area,9.9,12.1,NA,NA,NA,NA,01-01-1991
NA,25-07-2005,Rajasthan,Jaipur,NA,Residential and others,5,24.2,102,352,Chandpole,NA,25-07-2005
NA,28-07-2005,Rajasthan,Jaipur,NA,Residential and others,4.9,28.9,102,288,Chandpole,NA,28-07-2005
NA,08-01-2005,Rajasthan,Jaipur,NA,Residential and others,4.7,26.7,101,512,Chandpole,NA,08-01-2005
NA,08-04-2005,Rajasthan,Jaipur,NA,Residential and others,4.3,26.3,85,423,Chandpole,NA,08-04-2005
NA,08-08-2005,Rajasthan,Jaipur,NA,Residential and others,4.4,23.5,48,134,Chandpole,NA,08-08-2005
NA,08-11-2005,Rajasthan,Jaipur,NA,Residential and others,4.3,21.4,65,384,Chandpole,NA,08-11-2005
NA,14-08-2005,Rajasthan,Jaipur,NA,Residential and others,4.8,20.6,76,177,Chandpole,NA,14-08-2005
NA,18-08-2005,Rajasthan,Jaipur,NA,Residential and others,4.6,37.1,71,274,Chandpole,NA,18-08-2005
NA,22-08-2005,Rajasthan,Jaipur,NA,Residential and others,4.8,33.4,51,189,Chandpole,NA,22-08-2005
NA,25-08-2005,Rajasthan,Jaipur,NA,Residential and others,4.7,21.4,42,223,Chandpole,NA,25-08-2005
NA,29-08-2005,Rajasthan,Jaipur,NA,Residential and others,5,31.6,79,340,Chandpole,NA,29-08-2005
NA,09-01-2005,Rajasthan,Jaipur,NA,Residential and others,5.3,35.8,94,429,Chandpole,NA,09-01-2005
NA,09-05-2005,Rajasthan,Jaipur,NA,Residential and others,6.2,38.5,67,412,Chandpole,NA,09-05-2005
NA,09-08-2005,Rajasthan,Jaipur,NA,Residential and others,5.7,25.9,39,249,Chandpole,NA,09-08-2005
NA,09-12-2005,Rajasthan,Jaipur,NA,Residential and others,5,36.1,62,452,Chandpole,NA,09-12-2005
NA,15-09-2005,Rajasthan,Jaipur,NA,Residential and others,4.8,36.9,46,102,Chandpole,NA,15-09-2005
NA,19-09-2005,Rajasthan,Jaipur,NA,Residential and others,4.6,24.6,65,230,Chandpole,NA,19-09-2005
NA,22-09-2005,Rajasthan,Jaipur,NA,Residential and others,4.9,23.9,64,175,Chandpole,NA,22-09-2005
NA,26-09-2005,Rajasthan,Jaipur,NA,Residential and others,NA,NA,55,211,Chandpole,NA,26-09-2005
NA,29-09-2005,Rajasthan,Jaipur,NA,Residential and others,NA,NA,59,207,Chandpole,NA,29-09-2005
NA,13-10-2005,Rajasthan,Jaipur,NA,Residential and others,5.1,32.7,120,510,Chandpole,NA,13-10-2005
NA,17-10-2005,Rajasthan,Jaipur,NA,Residential and others,5.4,37.6,114,540,Chandpole,NA,17-10-2005
NA,20-10-2005,Rajasthan,Jaipur,NA,Residential and others,5.2,32.2,110,442,Chandpole,NA,20-10-2005
NA,24-10-2005,Rajasthan,Jaipur,NA,Residential and others,6.8,37,149,486,Chandpole,NA,24-10-2005
NA,27-10-2005,Rajasthan,Jaipur,NA,Residential and others,4.7,40.1,116,421,Chandpole,NA,27-10-2005
NA,31-10-2005,Rajasthan,Jaipur,NA,Residential and others,22.3,34.2,188,467,Chandpole,NA,31-10-2005
NA,11-03-2005,Rajasthan,Jaipur,NA,Residential and others,4.9,39,150,596,Chandpole,NA,11-03-2005
NA,11-07-2005,Rajasthan,Jaipur,NA,Residential and others,5,40.4,279,617,Chandpole,NA,11-07-2005
NA,11-10-2005,Rajasthan,Jaipur,NA,Residential and others,5,28.9,180,467,Chandpole,NA,11-10-2005
NA,14-11-2005,Rajasthan,Jaipur,NA,Residential and others,7.2,35.5,172,501,Chandpole,NA,14-11-2005
NA,17-11-2005,Rajasthan,Jaipur,NA,Residential and others,8.2,48.2,145,428,Chandpole,NA,17-11-2005
NA,24-11-2005,Rajasthan,Jaipur,NA,Residential and others,13.3,69.5,147,546,Chandpole,NA,24-11-2005
NA,28-11-2005,Rajasthan,Jaipur,NA,Residential and others,5.3,52.9,160,348,Chandpole,NA,28-11-2005
NA,12-01-2005,Rajasthan,Jaipur,NA,Residential and others,6.2,46.8,102,461,Chandpole,NA,12-01-2005
NA,12-05-2005,Rajasthan,Jaipur,NA,Residential and others,11.2,71.1,137,252,Chandpole,NA,12-05-2005
NA,12-08-2005,Rajasthan,Jaipur,NA,Residential and others,6.2,42.3,114,223,Chandpole,NA,12-08-2005
NA,12-12-2005,Rajasthan,Jaipur,NA,Residential and others,5.5,48.2,159,489,Chandpole,NA,12-12-2005
NA,15-12-2005,Rajasthan,Jaipur,NA,Residential and others,16.5,61.4,201,542,Chandpole,NA,15-12-2005
NA,19-12-2005,Rajasthan,Jaipur,NA,Residential and others,9.6,61.1,217,601,Chandpole,NA,19-12-2005
NA,22-12-2005,Rajasthan,Jaipur,NA,Residential and others,14.5,76.4,199,462,Chandpole,NA,22-12-2005
NA,26-12-2005,Rajasthan,Jaipur,NA,Residential and others,6.9,51.6,227,496,Chandpole,NA,26-12-2005
NA,29-12-2005,Rajasthan,Jaipur,NA,Residential and others,6.1,45.6,189,541,Chandpole,NA,29-12-2005
NA,01-03-2005,Rajasthan,Jaipur,NA,Residential and others,4.1,22.1,50,74,RSPCB Office,NA,01-03-2005
NA,01-06-2005,Rajasthan,Jaipur,NA,Residential and others,4.3,16.7,51,95,RSPCB Office,NA,01-06-2005
NA,01-10-2005,Rajasthan,Jaipur,NA,Residential and others,4.2,17.3,73,135,RSPCB Office,NA,01-10-2005
NA,13-01-2005,Rajasthan,Jaipur,NA,Residential and others,4.6,19.2,38,110,RSPCB Office,NA,13-01-2005
NA,17-01-2005,Rajasthan,Jaipur,NA,Residential and others,4,16.7,49,111,RSPCB Office,NA,17-01-2005
NA,24-01-2005,Rajasthan,Jaipur,NA,Residential and others,4.2,17.9,73,147,RSPCB Office,NA,24-01-2005
NA,27-01-2005,Rajasthan,Jaipur,NA,Residential and others,4,18.2,40,88,RSPCB Office,NA,27-01-2005
NA,02-03-2005,Rajasthan,Jaipur,NA,Residential and others,4.5,18.6,43,139,RSPCB Office,NA,02-03-2005
NA,14-02-2005,Rajasthan,Jaipur,NA,Residential and others,4.2,17.4,40,285,RSPCB Office,NA,14-02-2005
NA,17-02-2005,Rajasthan,Jaipur,NA,Residential and others,4.2,17.6,68,198,RSPCB Office,NA,17-02-2005
NA,21-02-2005,Rajasthan,Jaipur,NA,Residential and others,4.1,17.4,47,118,RSPCB Office,NA,21-02-2005
NA,24-02-2005,Rajasthan,Jaipur,NA,Residential and others,4.2,17.2,43,110,RSPCB Office,NA,24-02-2005
NA,28-02-2005,Rajasthan,Jaipur,NA,Residential and others,4,11.7,49,196,RSPCB Office,NA,28-02-2005
NA,03-03-2005,Rajasthan,Jaipur,NA,Residential and others,4.3,14.6,49,152,RSPCB Office,NA,03-03-2005
NA,03-07-2005,Rajasthan,Jaipur,NA,Residential and others,4.1,15,30,121,RSPCB Office,NA,03-07-2005
NA,03-10-2005,Rajasthan,Jaipur,NA,Residential and others,4,15.9,43,83,RSPCB Office,NA,03-10-2005
NA,14-03-2005,Rajasthan,Jaipur,NA,Residential and others,4,16.2,35,115,RSPCB Office,NA,14-03-2005
NA,17-03-2005,Rajasthan,Jaipur,NA,Residential and others,4.2,16.2,57,175,RSPCB Office,NA,17-03-2005
NA,21-03-2005,Rajasthan,Jaipur,NA,Residential and others,4,18.8,88,287,RSPCB Office,NA,21-03-2005
NA,24-03-2005,Rajasthan,Jaipur,NA,Residential and others,4,16.7,37,93,RSPCB Office,NA,24-03-2005
NA,28-03-2005,Rajasthan,Jaipur,NA,Residential and others,4,15.5,100,207,RSPCB Office,NA,28-03-2005
NA,31-03-2005,Rajasthan,Jaipur,NA,Residential and others,4,18.8,58,149,RSPCB Office,NA,31-03-2005
NA,04-04-2005,Rajasthan,Jaipur,NA,Residential and others,4.3,16.6,57,115,RSPCB Office,NA,04-04-2005
NA,04-07-2005,Rajasthan,Jaipur,NA,Residential and others,4,11.4,170,639,RSPCB Office,NA,04-07-2005
NA,04-11-2005,Rajasthan,Jaipur,NA,Residential and others,4,16.5,141,368,RSPCB Office,NA,04-11-2005
NA,14-04-2005,Rajasthan,Jaipur,NA,Residential and others,4.1,15.7,101,268,RSPCB Office,NA,14-04-2005
NA,18-04-2005,Rajasthan,Jaipur,NA,Residential and others,4.1,16.5,67,207,RSPCB Office,NA,18-04-2005
NA,21-04-2005,Rajasthan,Jaipur,NA,Residential and others,4.2,15.7,79,206,RSPCB Office,NA,21-04-2005
NA,25-04-2005,Rajasthan,Jaipur,NA,Residential and others,4.3,16,72,241,RSPCB Office,NA,25-04-2005
NA,28-04-2005,Rajasthan,Jaipur,NA,Residential and others,4.1,16.5,78,219,RSPCB Office,NA,28-04-2005
NA,05-02-2005,Rajasthan,Jaipur,NA,Residential and others,4.7,12.3,47,133,RSPCB Office,NA,05-02-2005
NA,05-05-2005,Rajasthan,Jaipur,NA,Residential and others,4,10.7,74,184,RSPCB Office,NA,05-05-2005
NA,05-09-2005,Rajasthan,Jaipur,NA,Residential and others,4.7,17,80,224,RSPCB Office,NA,05-09-2005
NA,05-12-2005,Rajasthan,Jaipur,NA,Residential and others,4,12.7,130,279,RSPCB Office,NA,05-12-2005
NA,16-05-2005,Rajasthan,Jaipur,NA,Residential and others,4,14.7,161,631,RSPCB Office,NA,16-05-2005
NA,19-05-2005,Rajasthan,Jaipur,NA,Residential and others,4,14.6,73,226,RSPCB Office,NA,19-05-2005
NA,23-05-2005,Rajasthan,Jaipur,NA,Residential and others,4,14.9,73,226,RSPCB Office,NA,23-05-2005
NA,26-05-2005,Rajasthan,Jaipur,NA,Residential and others,4.2,17.1,74,282,RSPCB Office,NA,26-05-2005
NA,30-05-2005,Rajasthan,Jaipur,NA,Residential and others,4,16.3,104,280,RSPCB Office,NA,30-05-2005
NA,06-02-2005,Rajasthan,Jaipur,NA,Residential and others,4,18.1,137,495,RSPCB Office,NA,06-02-2005
NA,06-06-2005,Rajasthan,Jaipur,NA,Residential and others,4,15,111,489,RSPCB Office,NA,06-06-2005
NA,06-09-2005,Rajasthan,Jaipur,NA,Residential and others,4,17.4,278,1035,RSPCB Office,NA,06-09-2005
NA,13-06-2005,Rajasthan,Jaipur,NA,Residential and others,4,18.5,160,933,RSPCB Office,NA,13-06-2005
NA,16-06-2005,Rajasthan,Jaipur,NA,Residential and others,4.3,15.9,160,301,RSPCB Office,NA,16-06-2005
NA,20-06-2005,Rajasthan,Jaipur,NA,Residential and others,4.2,16.3,85,266,RSPCB Office,NA,20-06-2005
NA,23-06-2005,Rajasthan,Jaipur,NA,Residential and others,4,15.8,54,247,RSPCB Office,NA,23-06-2005
NA,27-06-2005,Rajasthan,Jaipur,NA,Residential and others,4.2,14.9,44,126,RSPCB Office,NA,27-06-2005
NA,30-06-2005,Rajasthan,Jaipur,NA,Residential and others,4.3,16.5,26,76,RSPCB Office,NA,30-06-2005
NA,07-04-2005,Rajasthan,Jaipur,NA,Residential and others,4.3,15.4,36,95,RSPCB Office,NA,07-04-2005
NA,07-07-2005,Rajasthan,Jaipur,NA,Residential and others,4.4,16.2,34,114,RSPCB Office,NA,07-07-2005
NA,14-07-2005,Rajasthan,Jaipur,NA,Residential and others,4.1,14.6,51,169,RSPCB Office,NA,14-07-2005
NA,18-07-2005,Rajasthan,Jaipur,NA,Residential and others,4,17.1,39,81,RSPCB Office,NA,18-07-2005
NA,21-07-2005,Rajasthan,Jaipur,NA,Residential and others,4.1,15.7,41,131,RSPCB Office,NA,21-07-2005
NA,28-07-2005,Rajasthan,Jaipur,NA,Residential and others,4.2,15.6,42,116,RSPCB Office,NA,28-07-2005
NA,08-01-2005,Rajasthan,Jaipur,NA,Residential and others,4.1,15.8,19,48,RSPCB Office,NA,08-01-2005
NA,08-11-2005,Rajasthan,Jaipur,NA,Residential and others,4,13.3,37,89,RSPCB Office,NA,08-11-2005
NA,15-08-2005,Rajasthan,Jaipur,NA,Residential and others,4,9,44,140,RSPCB Office,NA,15-08-2005
NA,18-08-2005,Rajasthan,Jaipur,NA,Residential and others,4,10.4,46,169,RSPCB Office,NA,18-08-2005
NA,22-08-2005,Rajasthan,Jaipur,NA,Residential and others,4.2,12.2,49,126,RSPCB Office,NA,22-08-2005
NA,25-08-2005,Rajasthan,Jaipur,NA,Residential and others,4,10.6,47,116,RSPCB Office,NA,25-08-2005
NA,09-01-2005,Rajasthan,Jaipur,NA,Residential and others,4,14,48,103,RSPCB Office,NA,09-01-2005
NA,09-05-2005,Rajasthan,Jaipur,NA,Residential and others,4,12.4,61,238,RSPCB Office,NA,09-05-2005
NA,09-08-2005,Rajasthan,Jaipur,NA,Residential and others,4,14.5,23,92,RSPCB Office,NA,09-08-2005
NA,09-12-2005,Rajasthan,Jaipur,NA,Residential and others,4.5,12,62,143,RSPCB Office,NA,09-12-2005
NA,15-09-2005,Rajasthan,Jaipur,NA,Residential and others,4,12.3,19,46,RSPCB Office,NA,15-09-2005
NA,19-09-2005,Rajasthan,Jaipur,NA,Residential and others,4.5,11.6,40,115,RSPCB Office,NA,19-09-2005
NA,22-09-2005,Rajasthan,Jaipur,NA,Residential and others,5.1,11.5,19,79,RSPCB Office,NA,22-09-2005
NA,26-09-2005,Rajasthan,Jaipur,NA,Residential and others,5.1,12,50,101,RSPCB Office,NA,26-09-2005
NA,10-03-2005,Rajasthan,Jaipur,NA,Residential and others,4.1,14.5,44,93,RSPCB Office,NA,10-03-2005
NA,10-06-2005,Rajasthan,Jaipur,NA,Residential and others,4,15.5,24,67,RSPCB Office,NA,10-06-2005
NA,10-10-2005,Rajasthan,Jaipur,NA,Residential and others,4,14,38,92,RSPCB Office,NA,10-10-2005
NA,13-10-2005,Rajasthan,Jaipur,NA,Residential and others,4,15.6,34,84,RSPCB Office,NA,13-10-2005
NA,17-10-2005,Rajasthan,Jaipur,NA,Residential and others,4,16.2,43,83,RSPCB Office,NA,17-10-2005
NA,20-10-2005,Rajasthan,Jaipur,NA,Residential and others,4,16,68,146,RSPCB Office,NA,20-10-2005
NA,24-10-2005,Rajasthan,Jaipur,NA,Residential and others,4.7,11.4,58,90,RSPCB Office,NA,24-10-2005
NA,27-10-2005,Rajasthan,Jaipur,NA,Residential and others,4,23,40,78,RSPCB Office,NA,27-10-2005
NA,31-10-2005,Rajasthan,Jaipur,NA,Residential and others,4.5,16.9,52,141,RSPCB Office,NA,31-10-2005
NA,11-03-2005,Rajasthan,Jaipur,NA,Residential and others,4,15.2,63,167,RSPCB Office,NA,11-03-2005
NA,11-07-2005,Rajasthan,Jaipur,NA,Residential and others,4.2,14.7,57,81,RSPCB Office,NA,11-07-2005
NA,11-10-2005,Rajasthan,Jaipur,NA,Residential and others,4.7,14,49,97,RSPCB Office,NA,11-10-2005
NA,14-11-2005,Rajasthan,Jaipur,NA,Residential and others,4.2,16.2,39,91,RSPCB Office,NA,14-11-2005
NA,17-11-2005,Rajasthan,Jaipur,NA,Residential and others,4,21.9,52,94,RSPCB Office,NA,17-11-2005
NA,21-11-2005,Rajasthan,Jaipur,NA,Residential and others,4.3,29.4,38,62,RSPCB Office,NA,21-11-2005
NA,24-11-2005,Rajasthan,Jaipur,NA,Residential and others,5.5,65.4,38,97,RSPCB Office,NA,24-11-2005
NA,12-01-2005,Rajasthan,Jaipur,NA,Residential and others,4,14.2,28,55,RSPCB Office,NA,12-01-2005
NA,12-05-2005,Rajasthan,Jaipur,NA,Residential and others,4.9,25.1,71,143,RSPCB Office,NA,12-05-2005
NA,12-08-2005,Rajasthan,Jaipur,NA,Residential and others,4,17.8,38,86,RSPCB Office,NA,12-08-2005
NA,12-12-2005,Rajasthan,Jaipur,NA,Residential and others,4.4,16.3,40,96,RSPCB Office,NA,12-12-2005
NA,15-12-2005,Rajasthan,Jaipur,NA,Residential and others,4.4,30,62,100,RSPCB Office,NA,15-12-2005
NA,19-12-2005,Rajasthan,Jaipur,NA,Residential and others,4.5,26,73,162,RSPCB Office,NA,19-12-2005
NA,22-12-2005,Rajasthan,Jaipur,NA,Residential and others,4.6,17.5,59,135,RSPCB Office,NA,22-12-2005
NA,26-12-2005,Rajasthan,Jaipur,NA,Residential and others,4.2,18.2,86,125,RSPCB Office,NA,26-12-2005
NA,29-12-2005,Rajasthan,Jaipur,NA,Residential and others,4,20.5,67,117,RSPCB Office,NA,29-12-2005
NA,01-01-2005,Rajasthan,Jaipur,NA,Residential and others,10,48.9,163,318,Vidyadhar Nagar,NA,01-01-2005
NA,01-05-2005,Rajasthan,Jaipur,NA,Residential and others,6.9,22.2,173,238,Vidyadhar Nagar,NA,01-05-2005
NA,01-08-2005,Rajasthan,Jaipur,NA,Residential and others,4.2,16.8,149,180,Vidyadhar Nagar,NA,01-08-2005
NA,01-12-2005,Rajasthan,Jaipur,NA,Residential and others,5.9,22.3,164,220,Vidyadhar Nagar,NA,01-12-2005
NA,15-01-2005,Rajasthan,Jaipur,NA,Residential and others,4.5,19.1,102,189,Vidyadhar Nagar,NA,15-01-2005
NA,19-01-2005,Rajasthan,Jaipur,NA,Residential and others,4.9,21.9,151,215,Vidyadhar Nagar,NA,19-01-2005
NA,26-01-2005,Rajasthan,Jaipur,NA,Residential and others,4.2,21.1,196,259,Vidyadhar Nagar,NA,26-01-2005
NA,29-01-2005,Rajasthan,Jaipur,NA,Residential and others,4.6,22.2,123,222,Vidyadhar Nagar,NA,29-01-2005
NA,02-02-2005,Rajasthan,Jaipur,NA,Residential and others,4.4,20.6,122,168,Vidyadhar Nagar,NA,02-02-2005
NA,02-05-2005,Rajasthan,Jaipur,NA,Residential and others,4.6,18.3,99,158,Vidyadhar Nagar,NA,02-05-2005
NA,02-09-2005,Rajasthan,Jaipur,NA,Residential and others,4.4,17.9,116,151,Vidyadhar Nagar,NA,02-09-2005
NA,02-12-2005,Rajasthan,Jaipur,NA,Residential and others,6.1,18.6,NA,261,Vidyadhar Nagar,NA,02-12-2005
NA,16-02-2005,Rajasthan,Jaipur,NA,Residential and others,4.8,22.3,225,296,Vidyadhar Nagar,NA,16-02-2005
NA,19-02-2005,Rajasthan,Jaipur,NA,Residential and others,4.4,22.6,165,397,Vidyadhar Nagar,NA,19-02-2005
NA,23-02-2005,Rajasthan,Jaipur,NA,Residential and others,5.3,21.7,177,253,Vidyadhar Nagar,NA,23-02-2005
NA,26-02-2005,Rajasthan,Jaipur,NA,Residential and others,4.7,17.2,117,199,Vidyadhar Nagar,NA,26-02-2005
NA,03-02-2005,Rajasthan,Jaipur,NA,Residential and others,4.4,20.3,102,145,Vidyadhar Nagar,NA,03-02-2005
NA,03-05-2005,Rajasthan,Jaipur,NA,Residential and others,4.4,13.7,77,129,Vidyadhar Nagar,NA,03-05-2005
NA,03-09-2005,Rajasthan,Jaipur,NA,Residential and others,4.3,19,53,132,Vidyadhar Nagar,NA,03-09-2005
NA,03-12-2005,Rajasthan,Jaipur,NA,Residential and others,5.9,24.2,81,175,Vidyadhar Nagar,NA,03-12-2005
NA,16-03-2005,Rajasthan,Jaipur,NA,Residential and others,4.4,18,189,234,Vidyadhar Nagar,NA,16-03-2005
NA,19-03-2005,Rajasthan,Jaipur,NA,Residential and others,5.1,18.5,99,235,Vidyadhar Nagar,NA,19-03-2005
NA,23-03-2005,Rajasthan,Jaipur,NA,Residential and others,4.5,17.9,93,150,Vidyadhar Nagar,NA,23-03-2005
NA,26-03-2005,Rajasthan,Jaipur,NA,Residential and others,4.7,16.5,260,342,Vidyadhar Nagar,NA,26-03-2005
NA,30-03-2005,Rajasthan,Jaipur,NA,Residential and others,4.5,18.6,122,170,Vidyadhar Nagar,NA,30-03-2005
NA,04-09-2005,Rajasthan,Jaipur,NA,Residential and others,4.5,24.6,203,490,Vidyadhar Nagar,NA,04-09-2005
NA,13-04-2005,Rajasthan,Jaipur,NA,Residential and others,4.3,20.6,76,201,Vidyadhar Nagar,NA,13-04-2005
NA,16-04-2005,Rajasthan,Jaipur,NA,Residential and others,4.5,20.5,174,330,Vidyadhar Nagar,NA,16-04-2005
NA,20-04-2005,Rajasthan,Jaipur,NA,Residential and others,4.7,20.3,177,268,Vidyadhar Nagar,NA,20-04-2005
NA,27-04-2005,Rajasthan,Jaipur,NA,Residential and others,4.6,24.6,104,253,Vidyadhar Nagar,NA,27-04-2005
NA,30-04-2005,Rajasthan,Jaipur,NA,Residential and others,5,23.4,100,241,Vidyadhar Nagar,NA,30-04-2005
NA,05-04-2005,Rajasthan,Jaipur,NA,Residential and others,4.7,18.3,142,240,Vidyadhar Nagar,NA,05-04-2005
NA,05-07-2005,Rajasthan,Jaipur,NA,Residential and others,5.1,21.4,105,193,Vidyadhar Nagar,NA,05-07-2005
NA,05-11-2005,Rajasthan,Jaipur,NA,Residential and others,7.3,18.8,105,180,Vidyadhar Nagar,NA,05-11-2005
NA,14-05-2005,Rajasthan,Jaipur,NA,Residential and others,5,18.5,215,552,Vidyadhar Nagar,NA,14-05-2005
NA,18-05-2005,Rajasthan,Jaipur,NA,Residential and others,4.1,15,86,475,Vidyadhar Nagar,NA,18-05-2005
NA,21-05-2005,Rajasthan,Jaipur,NA,Residential and others,4,15.3,262,782,Vidyadhar Nagar,NA,21-05-2005
NA,25-05-2005,Rajasthan,Jaipur,NA,Residential and others,4.7,16.3,86,272,Vidyadhar Nagar,NA,25-05-2005
NA,28-05-2005,Rajasthan,Jaipur,NA,Residential and others,4.8,19.7,139,490,Vidyadhar Nagar,NA,28-05-2005
NA,06-03-2005,Rajasthan,Jaipur,NA,Residential and others,4.7,25.4,35,161,Vidyadhar Nagar,NA,06-03-2005
NA,06-08-2005,Rajasthan,Jaipur,NA,Residential and others,4.5,17,191,443,Vidyadhar Nagar,NA,06-08-2005
NA,06-11-2005,Rajasthan,Jaipur,NA,Residential and others,4.1,19.6,212,558,Vidyadhar Nagar,NA,06-11-2005
NA,15-06-2005,Rajasthan,Jaipur,NA,Residential and others,4.7,21.4,91,353,Vidyadhar Nagar,NA,15-06-2005
NA,18-06-2005,Rajasthan,Jaipur,NA,Residential and others,4.9,22.1,118,287,Vidyadhar Nagar,NA,18-06-2005
NA,22-06-2005,Rajasthan,Jaipur,NA,Residential and others,4.7,17.8,98,531,Vidyadhar Nagar,NA,22-06-2005
NA,07-09-2005,Rajasthan,Jaipur,NA,Residential and others,4.5,16.7,83,137,Vidyadhar Nagar,NA,07-09-2005
NA,16-07-2005,Rajasthan,Jaipur,NA,Residential and others,4.3,14.7,110,275,Vidyadhar Nagar,NA,16-07-2005
NA,20-07-2005,Rajasthan,Jaipur,NA,Residential and others,4.3,18.2,36,66,Vidyadhar Nagar,NA,20-07-2005
NA,23-07-2005,Rajasthan,Jaipur,NA,Residential and others,4.2,18.2,52,119,Vidyadhar Nagar,NA,23-07-2005
NA,27-07-2005,Rajasthan,Jaipur,NA,Residential and others,5.4,17.3,26,169,Vidyadhar Nagar,NA,27-07-2005
NA,30-07-2005,Rajasthan,Jaipur,NA,Residential and others,4,12.9,62,202,Vidyadhar Nagar,NA,30-07-2005
NA,08-03-2005,Rajasthan,Jaipur,NA,Residential and others,4,14.3,10,61,Vidyadhar Nagar,NA,08-03-2005
NA,08-06-2005,Rajasthan,Jaipur,NA,Residential and others,4.5,12.8,17,39,Vidyadhar Nagar,NA,08-06-2005
NA,08-10-2005,Rajasthan,Jaipur,NA,Residential and others,4.9,15.5,36,96,Vidyadhar Nagar,NA,08-10-2005
NA,13-08-2005,Rajasthan,Jaipur,NA,Residential and others,4.3,27.8,38,86,Vidyadhar Nagar,NA,13-08-2005
NA,17-08-2005,Rajasthan,Jaipur,NA,Residential and others,4.5,23.9,31,133,Vidyadhar Nagar,NA,17-08-2005
NA,24-08-2005,Rajasthan,Jaipur,NA,Residential and others,4.5,17.3,28,110,Vidyadhar Nagar,NA,24-08-2005
NA,27-08-2005,Rajasthan,Jaipur,NA,Residential and others,4.5,16.6,29,92,Vidyadhar Nagar,NA,27-08-2005
